"","N0","Nmax","tlag","rmax","AIC","AICc","BIC","rsq","id","model","temp_c","species","medium","temp_k"
"1",NA,NA,NA,NA,NA,NA,NA,NA,1,"gompertz_model",5,"Chryseobacterium.balustinum","TSB",278
"2",NA,NA,NA,NA,NA,NA,NA,NA,2,"gompertz_model",5,"Enterobacter.sp.","TSB",278
"3",NA,NA,NA,NA,NA,NA,NA,NA,3,"gompertz_model",5,"Pantoea.agglomerans.1","TSB",278
"4",-6.85519271006922,-0.639686311759743,86.5605595128902,0.03911574335774,4.45376786471399,5.99222940317552,11.6237038871397,-0.571167111382594,4,"gompertz_model",5,"Pantoea.agglomerans.2","TSB",278
"5",-7.06436981377216,-0.190850474307923,75.8637167498255,0.00218910319866372,-62.9131660178871,-61.2464993512204,-56.0766868679547,0.718399686185099,6,"gompertz_model",5,"Clavibacter.michiganensis","TSB",278
"6",NA,NA,NA,NA,NA,NA,NA,NA,7,"gompertz_model",5,"Pseudomonas.fluorescens.1","TSB",278
"7",NA,NA,NA,NA,NA,NA,NA,NA,8,"gompertz_model",5,"Pseudomonas.fluorescens.2","TSB",278
"8",NA,NA,NA,NA,NA,NA,NA,NA,9,"gompertz_model",5,"Acinetobacter.clacoaceticus.1","TSB",278
"9",NA,NA,NA,NA,NA,NA,NA,NA,10,"gompertz_model",5,"Acinetobacter.clacoaceticus.2","TSB",278
"10",-2.25235329510942,-2.45337125965826,193.24679089522,0.0257733835303166,-71.9430805709298,-70.2764139042631,-65.1066014209974,0.325524158506006,11,"gompertz_model",5,"Stenotrophomonas.maltophilia.1","TSB",278
"11",-0.182447607815412,-1.2049579906087,-0.0584667355246895,0.0223414510617538,-69.9690832110311,-68.3024165443644,-63.1326040610987,0.548252491934794,12,"gompertz_model",5,"Stenotrophomonas.maltophilia.2","TSB",278
"12",-3.56787768857011,-1.37887497515049,10.242064570732,0.0232719727503811,-101.238141418006,-99.5714747513391,-94.4016622680734,0.897921117058835,13,"gompertz_model",5,"Klebsiella.pneumonia","TSB",278
"13",-9.66556221097037,-4.6431974245387,202.17394344136,7.42625151042825e-05,37.4740929791278,39.1407596457945,44.3105721290602,-14476.7921097518,14,"gompertz_model",5,"Dickeya.zeae","TSB",278
"14",-9.33373668495817,-0.380347542438709,149.514463768837,0.00530653193057489,-3.11249820871096,-1.37336777392835,3.54852434216506,-410.484074337341,15,"gompertz_model",5,"Pectobacterium.carotovorum.subsp..Carotovorum.Pcc2","TSB",278
"15",-0.198564590494154,-1.31811347146105,28.5265763499713,0.0104421030365169,-48.4875562379349,-46.8208895712682,-41.6510770880025,0.658969172236368,16,"gompertz_model",5,"Pantoea.agglomerans..RDA.R.","TSB",278
"16",-3.26928758865416,-4.88963210430408,371.066398385237,0.00383307646587552,-8.09895019150426,-6.43228352483759,-1.26247104157189,-312.026679311179,18,"gompertz_model",5,"Acinetobacter.clacoaceticus..RDA.R.","TSB",278
"17",-10.6961956834242,-1.79270333465825,24.6237685754827,0.0126913020951124,-19.4146647571308,-17.7479980904642,-12.5781856071985,-5.59062125588834,19,"gompertz_model",5,"Stenotrophomonas.maltophilia..RDA.R.","TSB",278
"18",-2.13033381154277,-6.6176708830063,70.6144704704547,0.000511709555736252,38.527257557318,40.1939242239846,45.3637367072503,-16440.9832102364,20,"gompertz_model",5,"Klebsiella.pneumonia..RDA.R.","TSB",278
"19",-3.94687211271815,-2.09783386562548,42.9809623865641,0.0032067295836167,-67.2292754902399,-65.5626088235732,-60.3927963403075,0.610858432677188,22,"gompertz_model",5,"Clavibacter.michiganensis..RDA.R.","TSB",278
"20",-3.60308048474827,-1.93959752229751,11.720094317893,0.0442538275378977,-9.5456506997746,-7.19270952330401,-4.09043843298302,-1.39299658496776,23,"gompertz_model",15,"Chryseobacterium.balustinum","TSB",288
"21",-3.3435847410588,-0.0480602280791018,5.35635943320208,0.451127186257667,-54.5958648575655,-52.9958648575655,-47.5898779492547,0.937870155959067,24,"gompertz_model",15,"Enterobacter.sp.","TSB",288
"22",NA,NA,NA,NA,NA,NA,NA,NA,25,"gompertz_model",15,"Pantoea.agglomerans.1","TSB",288
"23",-0.787393727159875,-0.282399972102835,764.277344931769,0.000778989008591399,77.4580056862848,79.3627675910467,83.7484883763922,-17.7217368103558,26,"gompertz_model",15,"Pantoea.agglomerans.2","TSB",288
"24",-9.26401316833197,-0.203122592036878,657.755427761111,0.0229121854721571,44.9955335611666,47.3484747376372,50.4507458279582,-113.431118243036,27,"gompertz_model",15,"Bacillus.pumilus","TSB",288
"25",-8.19109738415952,-0.652603420112832,515.05112694813,0.00797146317615034,58.9349015535745,61.0401647114693,64.8251707053142,-7.77868420143691,28,"gompertz_model",15,"Clavibacter.michiganensis","TSB",288
"26",-6.62638110510808,-1.67936622607633,2.22096905869362,0.0406362057063492,5.68380105068288,7.90602327290511,11.3612721303286,-5.73496375285284,29,"gompertz_model",15,"Pseudomonas.fluorescens.1","TSB",288
"27",-2.23116543932997,-0.148483771203743,184.031736006741,0.0641649489968604,-28.5398395859026,-26.3176173636804,-22.8623685062569,-0.51787123535891,30,"gompertz_model",15,"Pseudomonas.fluorescens.2","TSB",288
"28",NA,NA,NA,NA,NA,NA,NA,NA,31,"gompertz_model",15,"Acinetobacter.clacoaceticus.1","TSB",288
"29",-2.74309276343702,-1.89463904249703,26.5884334595732,0.119204243779722,23.8483625979279,25.8483625979279,29.9427417222689,-26.3369109638638,32,"gompertz_model",15,"Acinetobacter.clacoaceticus.2","TSB",288
"30",-6.50354423014661,-0.200897501819438,13.6947108821325,0.000826777145015949,54.7754178819952,57.1283590584658,60.2306301487868,-104.355483416823,33,"gompertz_model",15,"Stenotrophomonas.maltophilia.1","TSB",288
"31",-6.77964168790132,-2.20531006920462,9.6263220052931,0.0332302007884263,31.1721974081002,33.3944196303224,36.849668487746,-16.7617006479297,34,"gompertz_model",15,"Stenotrophomonas.maltophilia.2","TSB",288
"32",-3.69163215813145,-0.261212480483602,-0.000950505609245783,0.236656931179677,36.2324453368092,37.6117556816368,43.86424795989,-0.264921392665368,35,"gompertz_model",15,"Klebsiella.pneumonia","TSB",288
"33",-5.13248129674488,-0.552065634361244,15.7077809720364,0.00209455625119322,29.5877750014613,31.5877750014613,35.6821541258023,-1.78790001668298,36,"gompertz_model",15,"Dickeya.zeae","TSB",288
"34",NA,NA,NA,NA,NA,NA,NA,NA,37,"gompertz_model",15,"Pectobacterium.carotovorum.subsp..Carotovorum.Pcc2","TSB",288
"35",NA,NA,NA,NA,NA,NA,NA,NA,38,"gompertz_model",15,"Pantoea.agglomerans..RDA.R.","TSB",288
"36",-10.3340258498104,-0.148737366945152,59.8656737144529,0.332868858469522,17.5514584384364,19.7736806606586,23.2289295180821,-0.519464090530011,39,"gompertz_model",15,"Dickeya.zeae..RDA.R.","TSB",288
"37",-2.81538916951703,-1.26839762532501,6.72525507301134,0.000388837451210916,49.4817065066187,51.8346476830892,54.9369187734102,-199.457486558937,40,"gompertz_model",15,"Acinetobacter.clacoaceticus..RDA.R.","TSB",288
"38",-4.9112186277735,-2.60063348077492,-1.11585834405607,0.0202680843933443,-22.5637987346247,-20.3415765124025,-16.886327654979,-1.58791993360596,41,"gompertz_model",15,"Stenotrophomonas.maltophilia..RDA.R.","TSB",288
"39",-2.88626327577358,-0.476872087202227,1.54340030543697,0.163368944173997,5.13305459579014,6.67151613425167,12.3029906182159,0.36040020945064,42,"gompertz_model",15,"Klebsiella.pneumonia..RDA.R.","TSB",288
"40",-2.84935599830114,-1.7791207505569,17.8342138337479,0.00830385878413232,0.220503261947743,2.57344443841833,5.67571552873932,-5.35709991090028,43,"gompertz_model",15,"Bacillus.pumilus..RDA.R.","TSB",288
"41",-5.74258477534139,-0.565383646653176,0.196946068187221,0.000102531960340434,73.3004126922029,75.4056758500976,79.1906818439426,-24.6048586530761,44,"gompertz_model",15,"Clavibacter.michiganensis..RDA.R.","TSB",288
