"","ID","Species","AIC","AICc","BIC","RSq","r_max","N_0","K","t_lag","index"
"1","Acinetobacter.clacoaceticus..RDA.R. _ 15 _ TSB _ Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus..RDA.R.","11.5059659434723","13.8589071199429","16.9611782102639","-34.6743577912295","0.0473717238468737","4.01095062817082","1.66546532278823","10.2273945866566","216"
"2","Acinetobacter.clacoaceticus..RDA.R. _ 25 _ TSB _ Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus..RDA.R.","0.644076081769549","4.64407608176955","4.1843270872806","-17.370024090107","0.00551544285655296","-2.21430792043254","-2.27861014205215","-0.472374445686734","297"
"3","Acinetobacter.clacoaceticus..RDA.R. _ 35 _ TSB _ Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus..RDA.R.","-8.95429853463965","-4.95429853463965","-5.4140475291286","-10.2037840402107","0.19795696988795","-10.6674612291726","-5.72510084913038","2.97737640285955","514"
"4","Acinetobacter.clacoaceticus..RDA.R. _ 5 _ TSB _ Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus..RDA.R.","-53.5546782381028","-51.8880115714362","-46.7181990881705","-64.2906947523956","0.005851259332295","-0.989393970247914","0.159010455578725","-362.389625528112","931"
"5","Acinetobacter.clacoaceticus.1 _ 15 _ TSB _ Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus.1","-11.7096701419765","-9.35672896550596","-6.25445787518497","-6.13186447389407","0.00217398452334071","-2.22403297580638","-2.28582625358462","88.9770984701281","424"
"6","Acinetobacter.clacoaceticus.1 _ 25 _ TSB _ Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus.1","13.431493735743","17.8759381801875","16.6267803838193","-18.7718394260332","0.00222153599081422","-4.424991707895","-2.36743754177139","-0.57750498108158","13"
"7","Acinetobacter.clacoaceticus.1 _ 35 _ TSB _ Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus.1","-9.14051371877893","-5.50415008241529","-5.27757010758002","0.110629248704132","0.274836846298179","0.742562783316783","0.801503876440088","-2.88090555762222","415"
"8","Acinetobacter.clacoaceticus.1 _ 5 _ TSB _ Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus.1","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"9","Acinetobacter.clacoaceticus.2 _ 15 _ TSB _ Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus.2","22.1307900553746","24.1307900553746","28.2251691797156","-24.5218497253461","0.56565829861251","-12.173475903055","-1.53437313333678","177.539118952343","519"
"10","Acinetobacter.clacoaceticus.2 _ 25 _ TSB _ Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus.2","23.2811163948047","27.2811163948047","26.8213674003157","-13.2388860850132","0.00999819766072179","-2.21601014355068","-2.54483599546687","-0.543920568703078","256"
