"","Time","PopBio","Temp","Time_units","PopBio_unts","Species","Medium","Rep","Citation"
"1",22.8667371760973,5.08606557377049,"4.4C","Hours","CFU/g","pseudonomads","agar",1,"Vankerschaver, K., Willocx, F., Smout, C., Hendrickx, M., & Tobback, P. (1996). The influence of temperature and gas mixtures on the growth of the intrinsic micro-organisms on cut endive: Predictive versus actual growth. Food Microbiology, 13(6), 427–440. https://doi.org/10.1006/fmic.1996.0049"
"2",-2.49762030671602,5.33196721311475,"4.4C","Hours","CFU/g","pseudonomads","agar",1,"Vankerschaver, K., Willocx, F., Smout, C., Hendrickx, M., & Tobback, P. (1996). The influence of temperature and gas mixtures on the growth of the intrinsic micro-organisms on cut endive: Predictive versus actual growth. Food Microbiology, 13(6), 427–440. https://doi.org/10.1006/fmic.1996.0049"
"3",46.9873083024855,5.97131147540984,"4.4C","Hours","CFU/g","pseudonomads","agar",1,"Vankerschaver, K., Willocx, F., Smout, C., Hendrickx, M., & Tobback, P. (1996). The influence of temperature and gas mixtures on the growth of the intrinsic micro-organisms on cut endive: Predictive versus actual growth. Food Microbiology, 13(6), 427–440. https://doi.org/10.1006/fmic.1996.0049"
"4",42.448968799577,6.04508196721311,"4.4C","Hours","CFU/g","pseudonomads","agar",1,"Vankerschaver, K., Willocx, F., Smout, C., Hendrickx, M., & Tobback, P. (1996). The influence of temperature and gas mixtures on the growth of the intrinsic micro-organisms on cut endive: Predictive versus actual growth. Food Microbiology, 13(6), 427–440. https://doi.org/10.1006/fmic.1996.0049"
"5",71.3484928609201,6.05737704918033,"4.4C","Hours","CFU/g","pseudonomads","agar",1,"Vankerschaver, K., Willocx, F., Smout, C., Hendrickx, M., & Tobback, P. (1996). The influence of temperature and gas mixtures on the growth of the intrinsic micro-organisms on cut endive: Predictive versus actual growth. Food Microbiology, 13(6), 427–440. https://doi.org/10.1006/fmic.1996.0049"
"6",65.90692755156,6.13114754098361,"4.4C","Hours","CFU/g","pseudonomads","agar",1,"Vankerschaver, K., Willocx, F., Smout, C., Hendrickx, M., & Tobback, P. (1996). The influence of temperature and gas mixtures on the growth of the intrinsic micro-organisms on cut endive: Predictive versus actual growth. Food Microbiology, 13(6), 427–440. https://doi.org/10.1006/fmic.1996.0049"
"7",138.81279746166,6.97950819672131,"4.4C","Hours","CFU/g","pseudonomads","agar",1,"Vankerschaver, K., Willocx, F., Smout, C., Hendrickx, M., & Tobback, P. (1996). The influence of temperature and gas mixtures on the growth of the intrinsic micro-organisms on cut endive: Predictive versus actual growth. Food Microbiology, 13(6), 427–440. https://doi.org/10.1006/fmic.1996.0049"
"8",117.02432575357,7.34836065573771,"4.4C","Hours","CFU/g","pseudonomads","agar",1,"Vankerschaver, K., Willocx, F., Smout, C., Hendrickx, M., & Tobback, P. (1996). The influence of temperature and gas mixtures on the growth of the intrinsic micro-organisms on cut endive: Predictive versus actual growth. Food Microbiology, 13(6), 427–440. https://doi.org/10.1006/fmic.1996.0049"
"9",140.44156530936,7.56967213114754,"4.4C","Hours","CFU/g","pseudonomads","agar",1,"Vankerschaver, K., Willocx, F., Smout, C., Hendrickx, M., & Tobback, P. (1996). The influence of temperature and gas mixtures on the growth of the intrinsic micro-organisms on cut endive: Predictive versus actual growth. Food Microbiology, 13(6), 427–440. https://doi.org/10.1006/fmic.1996.0049"
"10",163.951348492861,7.48360655737705,"4.4C","Hours","CFU/g","pseudonomads","agar",1,"Vankerschaver, K., Willocx, F., Smout, C., Hendrickx, M., & Tobback, P. (1996). The influence of temperature and gas mixtures on the growth of the intrinsic micro-organisms on cut endive: Predictive versus actual growth. Food Microbiology, 13(6), 427–440. https://doi.org/10.1006/fmic.1996.0049"
"11",161.226864093072,7.5327868852459,"4.4C","Hours","CFU/g","pseudonomads","agar",1,"Vankerschaver, K., Willocx, F., Smout, C., Hendrickx, M., & Tobback, P. (1996). The influence of temperature and gas mixtures on the growth of the intrinsic micro-organisms on cut endive: Predictive versus actual growth. Food Microbiology, 13(6), 427–440. https://doi.org/10.1006/fmic.1996.0049"
"12",185.662083553675,7.37295081967213,"4.4C","Hours","CFU/g","pseudonomads","agar",1,"Vankerschaver, K., Willocx, F., Smout, C., Hendrickx, M., & Tobback, P. (1996). The influence of temperature and gas mixtures on the growth of the intrinsic micro-organisms on cut endive: Predictive versus actual growth. Food Microbiology, 13(6), 427–440. https://doi.org/10.1006/fmic.1996.0049"
"13",186.461660497091,7.7172131147541,"4.4C","Hours","CFU/g","pseudonomads","agar",1,"Vankerschaver, K., Willocx, F., Smout, C., Hendrickx, M., & Tobback, P. (1996). The influence of temperature and gas mixtures on the growth of the intrinsic micro-organisms on cut endive: Predictive versus actual growth. Food Microbiology, 13(6), 427–440. https://doi.org/10.1006/fmic.1996.0049"
